BlueprintId;Name;Version;MinPriceCents;MinPriceEuro
7462;Dack Fayden Emblem;Regular;0;0.00
7463;Goblin Soldier;Regular;0;0.00
7464;Elemental;Regular;0;0.00
7465;Wurm;Regular;0;0.00
7466;Elf Warrior;Regular;0;0.00
7467;Elephant;Regular;0;0.00
7468;Goblin;Regular;0;0.00
7469;Elemental;Regular;0;0.00
7470;Dragon;Regular;0;0.00
7471;Carnivore;Regular;0;0.00
7472;Zombie;Regular;0;0.00
7473;Serf;Regular;0;0.00
7474;Wall;Regular;0;0.00
7475;Spirit;Regular;0;0.00
7476;Soldier;Regular;0;0.00
7477;Spirit;Regular;0;0.00
7478;Wind-Scarred Crag;Regular;11;0,11
7479;Wasteland;Regular;2243;22,43
7480;Tranquil Cove;Regular;11;0,11
7481;Thornwood Falls;Regular;11;0,11
7482;Swiftwater Cliffs;Regular;11;0,11
7483;Scoured Barrens;Regular;11;0,11
7484;Rugged Highlands;Regular;11;0,11
7485;Mishra's Factory;Regular;11;0,11
7486;Maze of Ith;Regular;589;5,89
7487;Karakas;Regular;1210;12,10
7488;Jungle Hollow;Regular;11;0,11
7489;Dismal Backwater;Regular;11;0,11
7490;Blossoming Sands;Regular;11;0,11
7491;Bloodfell Caves;Regular;11;0,11
7492;Worn Powerstone;Regular;20;0,20
7493;Winter Orb;Regular;915;9,15
7494;Ticking Gnomes;Regular;11;0,11
7495;Sensei's Divining Top;Regular;1907;19,07
7496;Relic of Progenitus;Regular;437;4,37
7497;Prismatic Lens;Regular;15;0,15
7498;Pilgrim's Eye;Regular;11;0,11
7499;Nevinyrral's Disk;Regular;34;0,34
7500;Mindless Automaton;Regular;14;0,14
7501;Millikin;Regular;13;0,13
7502;Mana Crypt;Regular;3851;38,51
7503;Juggernaut;Regular;11;0,11
7504;Isochron Scepter;Regular;910;9,10
7505;Goblin Charbelcher;Regular;16;0,16
7506;Emmessi Tome;Regular;11;0,11
7507;Duplicant;Regular;11;0,11
7508;Chrome Mox;Regular;8562;85,62
7509;Ashnod's Altar;Regular;990;9,90
7510;Torrent of Souls;Regular;11;0,11
7511;Giant Solifuge;Regular;11;0,11
7512;Deathrite Shaman;Regular;626;6,26
7513;Call the Skybreaker;Regular;11;0,11
7514;Zealous Persecution;Regular;12;0,12
7515;Wee Dragonauts;Regular;11;0,11
7516;Void;Regular;11;0,11
7517;Vindicate;Regular;58;0,58
7518;Trygon Predator;Regular;11;0,11
7519;Thunderclap Wyvern;Regular;13;0,13
7520;Sphinx of the Steel Wind;Regular;32;0,32
7521;Shardless Agent;Regular;33;0,33
7522;Shaman of the Pack;Regular;45;0,45
7523;Maelstrom Wanderer;Regular;96;0,96
7524;Goblin Trenches;Regular;11;0,11
7525;Glare of Subdual;Regular;30;0,30
7526;Flame-Kin Zealot;Regular;11;0,11
7527;Extract from Darkness;Regular;14;0,14
7528;Dack Fayden;Regular;356;3,56
7529;Brago, King Eternal;Regular;191;1,91
7530;Bloodbraid Elf;Regular;11;0,11
7531;Baleful Strix;Regular;110;1,10
7532;Armadillo Cloak;Regular;102;1,02
7533;Yavimaya Enchantress;Regular;11;0,11
7534;Xantid Swarm;Regular;122;1,22
7535;Wirewood Symbiote;Regular;26;0,26
7536;Werebear;Regular;11;0,11
7537;Timberwatch Elf;Regular;160;1,60
7538;Thornweald Archer;Regular;11;0,11
7539;Sylvan Might;Regular;11;0,11
7540;Sylvan Library;Regular;2237;22,37
7541;Silvos, Rogue Elemental;Regular;14;0,14
7542;Sentinel Spider;Regular;11;0,11
7543;Seal of Strength;Regular;19;0,19
7544;Roots;Regular;11;0,11
7545;Roar of the Wurm;Regular;21;0,21
7546;Regal Force;Regular;108;1,08
7547;Rancor;Regular;99;0,99
