BlueprintId;Name;Version;MinPriceCents;MinPriceEuro
12305;Drakestown Forgotten;Regular;14;0,14
12306;Bite of the Black Rose;Regular;28;0,28
12307;Split Decision;Regular;60;0,60
12266;Ajani's Sunstriker;Regular;11;0,11
12313;Rousing of Souls;Regular;11;0,11
12316;Council's Judgment;Regular;29;0,29
12317;Council Guardian;Regular;11;0,11
12321;Sentinel Dispatch;Regular;11;0,11
12326;Iterative Analysis;Regular;11;0,11
12327;Immediate Action;Regular;11;0,11
12328;Double Stroke;Regular;11;0,11
12331;Advantageous Proclamation;Regular;12;0,12
42377;Conspiracy: Playmat;Regular;0;0.00
48130;Conspiracy Booster;Regular;0;0.00
48131;Conspiracy Booster Box;Regular;0;0.00
48136;Conspiracy Complete Set;Regular;0;0.00
12311;Marchesa's Emissary;Regular;11;0,11
12312;Academy Elite;Regular;14;0,14
